,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1,0.0034006436665852866,0.0005841867367244808,0.042453765869140625,0.011295176044315678,0.0009765625,0.25,"{'alpha': 0.0009765625, 'l1_ratio': 0.25}",0.8857142857142857,0.9714285714285714,0.9428571428571428,0.9333333333333332,0.03563483225498993,3
2,0.002705812454223633,0.0005023765548274845,0.04854400952657064,0.009058915009452781,0.0009765625,0.5,"{'alpha': 0.0009765625, 'l1_ratio': 0.5}",0.8857142857142857,1.0,0.9428571428571428,0.9428571428571427,0.04665694748158436,1
3,0.0033037662506103516,0.0005313131511568678,0.04070862134297689,0.0030310135946994684,0.0009765625,0.75,"{'alpha': 0.0009765625, 'l1_ratio': 0.75}",0.8857142857142857,0.9142857142857143,0.9142857142857143,0.9047619047619047,0.01346870059402948,5
4,0.0018006960550944011,0.00011594471970534648,0.0002894401550292969,1.3626756826625067e-05,0.0009765625,1.0,"{'alpha': 0.0009765625, 'l1_ratio': 1.0}",0.8857142857142857,1.0,0.9428571428571428,0.9428571428571427,0.04665694748158436,1
5,0.002614736557006836,0.0006447643344046145,0.00036334991455078125,6.784366740978792e-05,0.03125,0.0,"{'alpha': 0.03125, 'l1_ratio': 0.0}",0.7428571428571429,0.9428571428571428,0.9142857142857143,0.8666666666666667,0.08832017614757812,6
6,0.002805948257446289,0.00011343430505195735,0.0003763834635416667,1.5144532979525363e-05,0.03125,0.25,"{'alpha': 0.03125, 'l1_ratio': 0.25}",0.7714285714285715,0.8857142857142857,0.9142857142857143,0.8571428571428571,0.06172133998483673,8
7,0.0027430057525634766,0.00018951542775052176,0.0003916422526041667,4.8637909564400674e-05,0.03125,0.5,"{'alpha': 0.03125, 'l1_ratio': 0.5}",0.7428571428571429,0.9142857142857143,0.9142857142857143,0.8571428571428571,0.08081220356417683,8
8,0.0027420520782470703,0.0002221225341207598,0.0003730456034342448,1.4321441516853438e-05,0.03125,0.75,"{'alpha': 0.03125, 'l1_ratio': 0.75}",0.8,0.8285714285714286,0.9142857142857143,0.8476190476190476,0.048562090605645536,10
9,0.0027184486389160156,0.0001826884858045175,0.00036780039469401043,2.4055740185533338e-05,0.03125,1.0,"{'alpha': 0.03125, 'l1_ratio': 1.0}",0.8285714285714286,0.8857142857142857,0.8857142857142857,0.8666666666666667,0.02693740118805891,6
10,0.002456823984781901,0.0003652350772010518,0.00036676724751790363,6.140912660445521e-05,1.0,0.0,"{'alpha': 1.0, 'l1_ratio': 0.0}",0.7142857142857143,0.6857142857142857,0.7142857142857143,0.7047619047619048,0.01346870059402948,11
11,0.002367417017618815,0.0004354789732352187,0.0003585020701090495,7.064605302385832e-05,1.0,0.25,"{'alpha': 1.0, 'l1_ratio': 0.25}",0.6857142857142857,0.6857142857142857,0.7142857142857143,0.6952380952380953,0.01346870059402948,12
12,0.0028084119160970054,5.444453551458701e-05,0.0003689130147298177,8.18145975216623e-06,1.0,0.5,"{'alpha': 1.0, 'l1_ratio': 0.5}",0.6857142857142857,0.6857142857142857,0.45714285714285713,0.6095238095238095,0.10774960475223583,13
13,0.0017545223236083984,9.122868150470193e-05,0.00028316179911295575,2.7951182098326422e-05,1.0,0.75,"{'alpha': 1.0, 'l1_ratio': 0.75}",0.3142857142857143,0.37142857142857144,0.34285714285714286,0.3428571428571428,0.02332847374079218,20
14,0.0028853416442871094,0.00012350005685968156,0.00037741661071777344,7.251871230888679e-05,1.0,1.0,"{'alpha': 1.0, 'l1_ratio': 1.0}",0.3142857142857143,0.3142857142857143,0.37142857142857144,0.3333333333333333,0.02693740118805896,21
15,0.0020644664764404297,0.0005100051870199706,0.0003059705098470052,3.298822581682996e-05,32.0,0.0,"{'alpha': 32.0, 'l1_ratio': 0.0}",0.37142857142857144,0.3142857142857143,0.7142857142857143,0.4666666666666666,0.17664035229515626,15
16,0.002279361089070638,0.0003502445116967939,0.00038584073384602863,7.185155265996111e-06,32.0,0.25,"{'alpha': 32.0, 'l1_ratio': 0.25}",0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.0,16
17,0.0024990240732828775,0.0004403886677270806,0.0003437201182047526,4.276422691293242e-05,32.0,0.5,"{'alpha': 32.0, 'l1_ratio': 0.5}",0.3142857142857143,0.37142857142857144,0.37142857142857144,0.3523809523809524,0.026937401188058964,18
18,0.002029975255330404,0.00037354139523400955,0.0003112951914469401,4.8085086434913315e-05,32.0,0.75,"{'alpha': 32.0, 'l1_ratio': 0.75}",0.3142857142857143,0.37142857142857144,0.37142857142857144,0.3523809523809524,0.026937401188058964,18
19,0.002227306365966797,0.00039614039127220334,0.0003238519032796224,5.381304453676507e-05,32.0,1.0,"{'alpha': 32.0, 'l1_ratio': 1.0}",0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.0,16
20,0.0023507277170817056,0.0005203862341675505,0.0003177324930826823,3.9434718072432945e-05,1024.0,0.0,"{'alpha': 1024.0, 'l1_ratio': 0.0}",0.7714285714285715,0.37142857142857144,0.34285714285714286,0.49523809523809526,0.19564417699213466,14
21,0.002264738082885742,0.00041749469149180644,0.0003310839335123698,3.608995478017171e-05,1024.0,0.25,"{'alpha': 1024.0, 'l1_ratio': 0.25}",0.3142857142857143,0.3142857142857143,0.37142857142857144,0.3333333333333333,0.02693740118805896,21
22,0.0018083254496256511,0.0001286763033791477,0.00031304359436035156,4.640942831202071e-05,1024.0,0.5,"{'alpha': 1024.0, 'l1_ratio': 0.5}",0.3142857142857143,0.37142857142857144,0.2857142857142857,0.3238095238095238,0.03563483225498993,24
23,0.0018104712168375652,0.00016673333992452716,0.00029699007670084637,5.461479925405132e-05,1024.0,0.75,"{'alpha': 1024.0, 'l1_ratio': 0.75}",0.3142857142857143,0.3142857142857143,0.37142857142857144,0.3333333333333333,0.02693740118805896,21
24,0.0021660327911376953,0.0001316696688384735,0.00031280517578125,5.5347355293830595e-05,1024.0,1.0,"{'alpha': 1024.0, 'l1_ratio': 1.0}",0.3142857142857143,0.3142857142857143,0.2857142857142857,0.30476190476190473,0.01346870059402948,25
